iter	Passed	Remaining
445	1186	1473
446	1188	1470
447	1192	1468
448	1194	1465
449	1197	1463
450	1200	1461
451	1202	1458
452	1205	1456
453	1208	1453
454	1210	1449
455	1212	1447
456	1215	1444
457	1217	1441
458	1220	1438
459	1222	1434
460	1224	1431
461	1226	1428
462	1229	1425
463	1231	1422
464	1234	1420
465	1237	1417
466	1239	1415
467	1242	1412
468	1244	1408
469	1246	1405
470	1249	1402
471	1251	1399
472	1253	1396
473	1255	1393
474	1258	1390
475	1260	1387
476	1263	1385
477	1265	1382
478	1268	1379
479	1270	1376
480	1272	1372
481	1274	1369
482	1277	1367
483	1279	1364
484	1282	1361
485	1285	1359
486	1287	1356
487	1290	1353
488	1292	1350
489	1294	1347
490	1296	1344
491	1299	1341
492	1301	1338
493	1303	1335
494	1306	1332
495	1308	1330
496	1312	1328
497	1315	1325
498	1317	1322
499	1319	1319
500	1322	1317
501	1324	1314
502	1327	1311
503	1329	1308
504	1331	1305
505	1336	1304
506	1339	1302
507	1342	1300
508	1345	1297
509	1347	1294
510	1350	1292
511	1353	1289
512	1355	1286
513	1357	1283
514	1359	1280
515	1362	1277
516	1364	1275
517	1366	1271
518	1369	1268
519	1371	1266
520	1374	1263
521	1376	1260
522	1379	1257
523	1381	1254
524	1384	1252
525	1386	1249
526	1388	1246
527	1391	1244
528	1394	1241
529	1396	1238
530	1398	1235
531	1402	1233
532	1404	1230
533	1408	1228
534	1410	1226
535	1413	1223
536	1415	1220
537	1417	1217
538	1421	1215
539	1424	1213
540	1426	1210
541	1429	1207
542	1432	1205
543	1435	1203
544	1438	1200
545	1441	1198
546	1443	1195
547	1446	1193
548	1448	1189
549	1450	1186
550	1453	1184
551	1456	1181
552	1458	1179
553	1461	1176
554	1465	1175
555	1468	1172
556	1471	1170
557	1474	1168
558	1477	1165
559	1481	1163
560	1483	1160
561	1485	1157
562	1487	1154
563	1490	1151
564	1492	1149
565	1494	1146
566	1497	1143
567	1499	1140
568	1501	1137
569	1504	1135
570	1507	1132
571	1509	1129
572	1512	1127
573	1515	1124
574	1518	1122
575	1521	1119
576	1524	1117
577	1527	1114
578	1529	1112
579	1531	1109
580	1534	1106
581	1536	1103
582	1538	1100
583	1541	1097
584	1543	1094
585	1545	1091
586	1547	1089
587	1550	1086
588	1552	1083
589	1554	1080
590	1556	1077
591	1559	1074
592	1561	1071
593	1563	1068
594	1565	1065
595	1567	1062
596	1570	1059
597	1572	1056
598	1574	1054
599	1577	1051
600	1579	1048
601	1581	1045
602	1584	1043
603	1586	1040
604	1589	1037
605	1591	1034
606	1593	1032
607	1596	1029
608	1598	1026
609	1600	1023
610	1602	1020
611	1604	1017
612	1606	1014
613	1609	1011
614	1611	1008
615	1613	1005
616	1616	1003
617	1618	1000
618	1620	997
619	1623	994
620	1625	991
621	1627	989
622	1629	985
623	1631	983
